Nâng cấp bắt đầu: 11:35:58_16-05-2016
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/en.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/fr.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/vi.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/specialchar.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/switchbar/plugin.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/table/dialogs/table.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/tabletools/dialogs/tableCell.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/tbvdownload/dialogs/tbvdownload.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/tbvdownload/lang/en.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/tbvdownload/lang/vi.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/templates/templates/default.js | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie7.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie8.css | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_iequirks.css | SUCCESS
